time,R_eff
1,10.056808764519703
2,10.056722831696153
3,10.056613780799694
4,10.056474912510101
5,10.05629788246611
6,10.056072159460715
7,10.055784358199151
8,10.05541743025413
9,10.049804257373928
10,10.03585706804759
11,10.017550859599936
12,9.993523513556397
13,9.961997281821986
14,9.920660076589684
15,9.866518403116402
16,9.795718966056064
17,9.703338737636331
18,9.583149119373047
19,9.427371027134177
20,9.226458019438143
21,8.968980070966634
22,8.641741154478908
23,8.230365370760968
24,7.720754529320216
25,7.102095716651421
26,6.372545670988359
27,5.549443371048685
28,4.6870676842888495
29,3.9202757685954235
30,3.5380053487233254
31,3.4999095479332203
32,3.4539199449114193
33,3.398772066525345
34,3.333099613815063
35,3.2554607017787145
36,3.164380130261082
37,3.058412630939106
38,2.9362314526264166
39,2.796867803059777
40,2.6385621473876135
41,2.4618170677462787
42,2.267106094922303
43,2.0557686493587894
44,1.8301358479083984
45,1.5935831615738634
46,1.3504707446463944
47,1.1059374190343498
48,0.865532355253388
49,0.6347013567353172
50,0.4181885985304715
51,0.219457867197227
52,0.04026131495431615
53,-0.11952860440788736
54,-0.26175966528464256
55,-0.38951763509672216
56,-0.5063731537840871
57,-0.6153969613816143
58,-0.7178952719346386
59,-0.8117598428125081
60,-0.8871399329578911
61,-0.9057219389135702
62,-0.9199932197507249
63,-0.9310201428072067
64,-0.9395985646925318
65,-0.9463194963665261
66,-0.9516218655238771
67,-0.9558328557883484
68,-0.9591978409090997
69,-0.96207855148749
70,-0.9634808213257382
71,-0.9642253997144323
72,-0.964318209550167
73,-0.9637224390636132
74,-0.9623558045128465
75,-0.9600848253541349
76,-0.9567161380088597
77,-0.9519848669703999
78,-0.9455402302336862
79,-0.9369289791812078
80,-0.9255781343744783
81,-0.9107800690825866
82,-0.8916857905449564
83,-0.8673170535513032
84,-0.8366159689193337
85,-0.7985640593908815
86,-0.7524244959409582
87,-0.6981966664450765
88,-0.6374294736940828
89,-0.5744935120169681
90,-0.5205896147465283
91,-0.5206669368941839
92,-0.5207370866595382
93,-0.5208010657700993
94,-0.5208597077030286
95,-0.5209137078523634
96,-0.5209636481161362
97,-0.5210100169612784
98,-0.5210532258184468
99,-0.5212166300968782
100,-0.520347652588476
101,-0.5191889995889687
102,-0.5176497219231789
103,-0.5156105015323815
104,-0.512915328819846
105,-0.5093610567066263
106,-0.5046845089653312
107,-0.4985469379062783
108,-0.49051591369612113
109,-0.4800453162561313
110,-0.46645520963828063
111,-0.4489153675921715
112,-0.4264396737411646
113,-0.3979044892371655
114,-0.36211389323981896
115,-0.3179509081304563
116,-0.2646803393573465
117,-0.20251193197487719
118,-0.13360209717203217
119,-0.06368769798895323
120,-0.006785373307097216
121,-0.006798909109349993
122,-0.006811874132203003
123,-0.006824294230987141
124,-0.006836193796065486
125,-0.006847595880944747
126,-0.006858522313596301
127,-0.006868993793647942
128,-0.006879029977657835
129,-0.006888649554310125
130,-0.006897870311064227
131,-0.006906709193535041
132,-0.006915182358670666
133,-0.006923305222618906
134,-0.0069310925040290475
135,-0.006938558263414996
136,-0.006945715939105234
137,-0.006952578380222542
138,-0.006959157877066352
139,-0.00696546618921342
140,-0.006971514571603839
141,-0.006977313798839676
142,-0.006982874187889423
143,-0.006988205619363802
144,-0.006993317557504272
145,-0.006998219069006668
146,-0.007002918840784918
147,-0.007007425196766601
148,-0.007011746113799633
149,-0.007015889236740044
150,-0.007019861892781878
151,-0.0070236711050836505
152,-0.007027323605739079
153,-0.007030825848135404
154,-0.007034184018737352
155,-0.007037404048331735
156,-0.007040491622763882
157,-0.007043452193194647
158,-0.007046290985903985
159,-0.007049013011665057
160,-0.007051623074711038
161,-0.007054125781315126
162,-0.007056525548002472
163,-0.00705882660941209
164,-0.007061033025824974
165,-0.0070631486903740635
166,-0.007065177335950653
167,-0.007067122541820785
168,-0.007068987739964794
169,-0.0070707762211520446
170,-0.007072491140762548
171,-0.007074135524366481
172,-0.00707571227307196
173,-0.007077224168651069
174,-0.00707867387845353
175,-0.007080063960117112
176,-0.00708139686608334
177,-0.007082674947926599
178,-0.007083900460504589
179,-0.007078072804156135
